Feature,Stage1_Delta,Stage2_Delta,Stage1_Abs_Delta,Stage2_Abs_Delta,Stage1_Abs_Rank,Stage2_Abs_Rank,Stage1_HL_Shift,Stage2_HL_Shift,Stage1_Delta_CI_Lower,Stage1_Delta_CI_Upper,Stage2_Delta_CI_Lower,Stage2_Delta_CI_Upper,Delta_Change,Abs_Delta_Change,Abs_Delta_Ratio,Percent_Attenuation,Delta_Direction_Preserved,Delta_Sign_Reversed,HL_Direction_Preserved,Stage1_MW_BH_q,Stage2_MW_BH_q,Stage1_Stratified_BH_q,Stage2_Stratified_BH_q,Stage1_Movie1_Delta,Stage1_Movie2_Delta,Stage1_Movie3_Delta,Stage2_Movie1_Delta,Stage2_Movie2_Delta,Stage2_Movie3_Delta,Stage1_Direction_Consistent_All_Movies,Stage2_Direction_Consistent_All_Movies,Stage2_Any_Movie_Direction_Reversal,Stage2_CI_Excludes_Zero
f_early_mean,0.20280537697253068,0.2192493496841323,0.20280537697253068,0.2192493496841323,31,28,0.05117408486990449,0.05716940649976987,-0.08009935710111045,0.47517533606078294,-0.027870680044593088,0.45559271646228167,0.016443972711601612,0.016443972711601612,1.0810825282695975,-8.108252826959758,True,False,True,0.18085915156342083,0.09579536003151931,0.27057294270572946,0.29029855635126145,-0.5,0.6142857142857143,0.15170278637770898,-0.5217391304347826,0.6822916666666666,0.09090909090909091,False,False,True,False
c_avg_time_between_peaks,0.2004675628287551,0.00929022668153103,0.2004675628287551,0.00929022668153103,32,45,0.05200945626477521,0.0,-0.04208065458796026,0.4330800701344243,-0.21962095875139354,0.23485693050910442,-0.19117733614722407,-0.19117733614722407,0.04634279257171893,95.3657207428281,True,False,False,0.18085915156342083,0.9387493599903225,0.317499500049995,0.8148685131486851,0.5757575757575758,0.35,0.018575851393188854,0.5362318840579711,0.2552083333333333,-0.20616883116883117,True,False,True,False
d_poly_trough_c3,0.19696084161309177,0.115570419918246,0.19696084161309177,0.115570419918246,33,33,0.04303980807772256,0.025166730375664415,-0.06838106370543542,0.44476914085330216,-0.10293571163136381,0.32740616871051625,-0.08139042169484577,-0.08139042169484577,0.5867685118104419,41.32314881895582,True,False,True,0.1852740250857236,0.438389264987445,0.3911881539118816,0.6701758395589013,-0.030303030303030304,0.32857142857142857,0.12074303405572756,0.014492753623188406,0.3125,0.022727272727272728,False,True,False,False
c_std_time_between_troughs,0.18760958503798947,0.07543664065403195,0.18760958503798947,0.07543664065403195,34,38,0.06418417490015549,0.02381502270881536,-0.06372004675628287,0.4225745178258326,-0.1508732813080639,0.29914529914529914,-0.11217294438395752,-0.11217294438395752,0.4020937450437654,59.79062549562346,True,False,True,0.20578640592949834,0.6137175655838062,0.4695780421957804,0.927007299270073,0.2727272727272727,0.32857142857142857,0.015479876160990712,0.2463768115942029,0.24479166666666666,-0.08279220779220779,True,False,True,False
g_asymmetry_index,-0.1706604324956166,-0.14752879970271274,0.1706604324956166,0.14752879970271274,35,30,-0.05679217807364248,-0.050655372686919886,-0.4091320864991233,0.07014903565166548,-0.35525826830174656,0.06837606837606838,0.023131632792903867,-0.023131632792903867,0.8644581379840461,13.554186201595382,True,False,True,0.252574215528219,0.3079733959811733,0.40045995400459955,0.43842490750924906,-0.2727272727272727,0.2714285714285714,-0.3126934984520124,-0.2753623188405797,0.3645833333333333,-0.2727272727272727,False,False,True,False
d_poly_trough_c1,0.15955581531268265,0.08807134894091416,0.15955581531268265,0.08807134894091416,36,35,0.04901387880868047,0.027040404623108416,-0.11046171829339567,0.4260666277030976,-0.140115198810851,0.3132850241545891,-0.07148446637176849,-0.07148446637176849,0.5519783078311506,44.80216921688494,True,False,True,0.2841508252522071,0.5790838312027143,0.8128821264215043,0.927007299270073,-0.15151515151515152,0.2,0.02786377708978328,-0.10144927536231885,0.22916666666666666,-0.04220779220779221,False,False,True,False
e_hurst_exponent,0.10461718293395675,-0.011519881085098476,0.10461718293395675,0.011519881085098476,37,44,0.03457255843119783,-0.004413788628227777,-0.1537112799532437,0.364114552893045,-0.23301746562616127,0.21516164994425863,-0.11613706401905523,-0.09309730184885827,0.11011461752292453,88.98853824770755,False,True,False,0.5223528438582942,0.9387493599903225,0.4500835630722642,0.9173725484594397,0.42424242424242425,0.24285714285714285,0.034055727554179564,0.42028985507246375,0.21875,-0.08116883116883117,True,False,True,False
f_delta_mean,-0.09994155464640561,-0.23225566703827574,0.09994155464640561,0.23225566703827574,38,27,-0.033101120946881,-0.05565194923687311,-0.3863237872589129,0.1923144360023374,-0.45746934225195096,0.007060572277963582,-0.13231411239187013,0.13231411239187013,2.323914890657835,-132.3914890657835,True,False,True,0.5335027859943021,0.07662605192779443,0.5597683474895754,0.2510748925107489,0.9696969696969697,-0.5571428571428572,-0.13312693498452013,0.9710144927536232,-0.6458333333333334,-0.18506493506493507,False,False,True,False
b_band_power_low,0.08182349503214495,0.09698996655518395,0.08182349503214495,0.09698996655518395,39,34,1.40432391778236e-34,2.0859424757393544e-34,-0.15958503798947984,0.32207773232027986,-0.12003901895206243,0.31512448903753254,0.015166471523039002,0.015166471523039002,1.1853559483994267,-18.535594839942664,True,False,True,0.6198728944086316,0.5368797777671315,0.7855089491050895,0.8245151094646633,0.015151515151515152,-0.2,0.17956656346749225,0.028985507246376812,-0.11458333333333333,0.09253246753246754,False,False,True,False
a_median,0.04734073641145529,-0.030100334448160536,0.04734073641145529,0.030100334448160536,40,41,0.014386746008138829,-0.0012589855013587226,-0.23553477498538866,0.33722969023962596,-0.2683203270159792,0.21369379412857645,-0.07744107085961582,-0.017240401963294752,0.6358231140839837,36.41768859160163,False,True,False,0.812666134134813,0.8758533191265298,0.7855089491050895,0.8091113965526524,0.4090909090909091,0.10714285714285714,-0.034055727554179564,0.4057971014492754,0.16666666666666666,-0.1737012987012987,False,False,True,False
